,city,city_code,population_2021,area,roundabouts,rb_per_km2,rb_per_inhabitant
0,Abrantes,ABT,34351,714.69,10.0,0.013992080482446934,0.0002911123402521033
1,Águeda,AGD,46134,335.0,10.0,0.029850746268656716,0.00021675987341223394
2,Aguiar da Beira,AGB,5228,206.75,2.0,0.009673518742442563,0.00038255547054322876
3,Alandroal,ADL,5007,542.68,1.0,0.0018427065674062064,0.00019972039145196724
4,Albergaria-a-Velha,ALB,24841,158.83,20.0,0.12592079581942958,0.0008051205668048791
5,Albufeira,ABF,44158,140.66,43.0,0.30570169202331865,0.0009737759862312605
6,Alcácer do Sal,ASL,11125,1499.87,1.0,0.0006667244494522859,8.988764044943821e-05
7,Alcanena,ACN,12478,127.33,9.0,0.0706824785989162,0.0007212694342041994
8,Alcobaça,ACB,54981,408.14,10.0,0.02450139657960504,0.00018188101344100688
9,Alcochete,ACH,19148,128.36,6.0,0.04674353381115612,0.0003133486526007938
10,Alcoutim,ACT,2521,575.36,1.0,0.0017380422691879865,0.0003966679888932963
11,Alenquer,ALQ,44428,304.22,2.0,0.00657418973111564,4.501665616278023e-05
12,Alfândega da Fé,AFE,4321,321.95,,,
13,Alijó,ALJ,10492,297.6,4.0,0.013440860215053762,0.0003812428516965307
14,Aljezur,AJZ,6046,323.5,9.0,0.027820710973724884,0.0014885874958650348
15,Aljustrel,AJT,8879,458.47,1.0,0.0021811677972386413,0.00011262529564140106
16,Almada,ALM,177400,70.21,10.0,0.1424298532972511,5.636978579481398e-05
17,Almeida,ALD,5882,517.98,1.0,0.001930576470133982,0.00017001020061203673
18,Almeirim,ALR,22033,222.12,9.0,0.04051863857374392,0.0004084781918032043
19,Almodôvar,ADV,6709,777.88,4.0,0.005142181313313107,0.0005962140408406618
20,Alpiarça,APC,6986,95.36,6.0,0.06291946308724833,0.0008588605782994561
21,Alter do Chão,ALT,3046,362.07,1.0,0.0027618968707708454,0.00032829940906106366
22,Alvaiázere,AVZ,6227,160.48,1.0,0.0062313060817547365,0.00016059097478721696
23,Alvito,AVT,2276,264.85,,,
24,Amadora,AMD,171719,23.79,48.0,2.01765447667087,0.000279526435630303
25,Amarante,AMT,52131,301.33,2.0,0.006637241562406664,3.836488845408682e-05
26,Amares,AMR,18591,81.95,1.0,0.012202562538133007,5.378946802216126e-05
27,Anadia,AND,27542,217.0,5.0,0.02304147465437788,0.00018154091932321545
28,Angra do Heroísmo,AGH,33829,239.0,,,
29,Ansião,ANS,11632,176.09,1.0,0.005678914191606565,8.59697386519945e-05
30,Arcos de Valdevez,AVV,20729,447.6,3.0,0.006702412868632707,0.0001447247817067876
31,Arganil,AGN,11067,332.84,1.0,0.003004446580939791,9.035872413481521e-05
32,Armamar,AMM,5680,117.24,5.0,0.042647560559535995,0.0008802816901408451
33,Arouca,ARC,21154,329.11,10.0,0.030384977667041412,0.00047272383473574735
34,Arraiolos,ARL,6606,683.75,1.0,0.0014625228519195613,0.00015137753557372085
35,Arronches,ARR,2789,314.65,1.0,0.0031781344350866043,0.00035855145213338117
36,Arruda dos Vinhos,ARV,13983,77.96,7.0,0.08978963571062083,0.0005006078809983551
