municipios
Município;Código de três letras;População em 2021;Area em km^2;
Mortágua;MRT;8960;251,18;
Moura;MRA;13 267;958,46;
Mourão;MOU;2353;278,63;
Murça;MUR;5249;189,37;
Murtosa;MRS;10 488;73,09;
Nazaré;NZR;14 889;82,43;
Nelas;NLS;13 124;125,71;
Nisa;NIS;5951;575,68;
Nordeste;NRD;4373;101,51;
Óbidos;OBD;11 940;141,55;
Odemira;ODM;29 523;1720,60;
Odivelas;ODV;148 156;26,54;
Oeiras;OER;171 802;45,88;
Oleiros;OLR;4900;471,09;
Olhão;OLH;44 639;130,86;
Oliveira de Azeméis;OAZ;66 212;161,10;
Oliveira de Frades;OFR;9510;147,45;
Oliveira do Bairro;OBR;23 150;87;
Oliveira do Hospital;OHP;19 421;234,52;
Ourém;ORM;44 576;416,68;
Ourique;ORQ;4842;663,31;
Ovar;OVR;54 976;147,70;
[Paços de Ferreira;PFR;55 623;70,99;
Palmela;PLM;68 879;465,12;
Pampilhosa da Serra;PPS;4067;396,46;
Paredes;PRD;84 414;156,76;
Paredes de Coura;PCR;8636;138,19;
Pedrógão Grande;PGR;3392;128,75;
Penacova;PCV;13 119;216,73;
Penafiel;PNF;69 687;212,24;
Penalva do Castelo;PCT;7340;134,34;
Penamacor;PNC;4764;563,71;
Penedono;PND;2731;133,72;
Penela;PNL;5443;132,49;
Peniche;PNI;26 419;77,55;
Peso da Régua;PRG;14 553;94,86;
Pinhel;PNH;8099;484,52;
Pombal;PBL;51 178;626,00;
Ponta Delgada;PDL;67 287;231,90;
Ponta do Sol;PTS;8367;46,19;
Ponte da Barca;PTB;11 058;182,11;
Ponte de Lima;PTL;41 204;320,25;
Ponte de Sor;PSR;15 253;839,71;
Portalegre;PTG;22 368;447,14;
Portel;PRL;5745;601,01;
Portimão;PTM;59 896;182,06;
Porto;PRT;231 962;41,42;
Porto de Mós;PMS;23 211;261,83;
Porto Moniz;PMZ;2521;82,93;
Porto Santo;PST;5158;42,48;
Póvoa de Lanhoso;PVL;21 787;134,65;
Póvoa de Varzim;PVZ;64 320;82,81;
Povoação;PVC;5796;110,30;
Praia da Vitória;VPV;19 482;162,29;
Proença-a-Nova;PNV;7147;395,40;
Redondo;RDD;6287;369,51;
Reguengos de Monsaraz;RMZ;9875;464,00;
Resende;RSD;10 053;123,35;
Ribeira Brava;RBR;12 696;65,40;
Ribeira de Pena;RPN;5887;217,46;
Ribeira Grande;RGR;31 414;180,15;
Rio Maior;RMR;21 021;272,76;
Sabrosa;SBR;5556;156,92;
Sabugal;SBG;11 281;822,70;
Salvaterra de Magos;SMG;21 632;243,93;
Santa Comba Dão;SCD;10 642;111,95;
Santa Cruz;SCR;42 262;81,50;
Santa Cruz da Graciosa;SCG;4095;60,89;
Santa Cruz das Flores;SCF;2021;72,11;
Santa Maria da Feira;VFR;136 720;213,45;
Santa Marta de Penaguião;SMP;6104;69,28;
Santana;STN;6558;95,56;
Santarém;STR;58 770;552,54;
Santiago do Cacém;STC;27 801;1059,77;
Santo Tirso;STS;67 785;136,60;
São Brás de Alportel;SBA;11 266;153,37;
São João da Madeira;SJM;22 162;7,94;
São João da Pesqueira;SJP;6780;60,04;
São Pedro do Sul;SPS;15 139;348,95;
São Roque do Pico;SRQ;3221;144,31;
São Vicente;SVC;4874;78,82;
Sardoal;SRD;3526;92,15;
Sátão;SAT;11 026;201,94;
Seia;SEI;21 759;435,69;
Seixal;SXL;166 693;95,50;
Sernancelhe;SRN;5713;228,61;
Serpa;SRP;13 768;1105,63;
Sertã;SRT;14 748;453,13;
Sesimbra;SSB;52 465;195,47;
Setúbal;STB;123 684;230,33;
Sever do Vouga;SVV;11 069;129,88;
Silves;SLV;37 813;680,06;
Sines;SNS;14 214;203,30;
Sintra;SNT;385 954;319,23;
Sobral de Monte Agraço;SMA;10 542;52,10;
Soure;SRE;17 264;263,91;
