roundabout_id,osm_way_ids,latitude,longitude,municipality,city_code
49,"[14792390, 1031704062, 1031704063, 1031704064, 1031704065, 1031704066]",38.936217109999994,-9.305164809999997,Mafra,MFR
50,[14819885],40.20748404761905,-8.40429823809524,Coimbra,CBR
51,[14820193],40.20763343913044,-8.400250882608697,Coimbra,CBR
52,"[14889762, 1058724292, 1274544545, 1274544546]",38.942575085,-9.341773635000001,Mafra,MFR
53,"[14889766, 1031704000, 1031704001, 1031704002, 1031704003, 1031704004]",38.942784472222215,-9.333585294444443,Mafra,MFR
54,[14889769],38.94618655714286,-9.332300528571428,Mafra,MFR
55,"[14889775, 1345285125, 1345285126, 1345285128]",38.93413500454545,-9.341811531818182,Mafra,MFR
56,"[14889785, 1345285129]",38.93566492857143,-9.334223428571427,Mafra,MFR
57,"[14889807, 1031704023, 1053187609, 1053187610, 1058724291, 1274544552]",38.942851355,-9.335929825,Mafra,MFR
58,"[14889837, 1031703999, 1031704041, 1031704042, 1031704043, 1031704044, 1031704045, 1226772641]",38.941879285000006,-9.330758414999998,Mafra,MFR
59,"[14889889, 1058724293, 1274544550, 1274544551, 1337834451]",38.94063865652174,-9.347153078260872,Mafra,MFR
60,[15013099],40.20970742916666,-8.402601691666666,Coimbra,CBR
61,[15014756],40.088904916000004,-8.329491516000001,Miranda do Corvo,MCV
62,[15015917],40.080887904347826,-8.320507539130434,Miranda do Corvo,MCV
63,[15021612],40.22358165217391,-8.439293613043477,Coimbra,CBR
64,[15070523],40.21437474285714,-8.414121685714285,Coimbra,CBR
65,[15071686],40.21806390909091,-8.413839231818182,Coimbra,CBR
66,[15140532],38.69312130526316,-9.36716692631579,Cascais,CSC
67,"[15238545, 1236557740, 1236557741]",38.96593602272728,-9.41222520909091,Mafra,MFR
68,[15246389],40.093404318750004,-8.3348782,Miranda do Corvo,MCV
69,[15259853],40.20488336785714,-8.401048385714287,Coimbra,CBR
70,"[15805612, 813999907, 813999908, 813999909]",39.991709332000006,-8.802507052000001,Pombal,PBL
71,"[17066175, 228691586, 228691593, 228691595, 770033139, 992086270]",38.70346387272727,-9.41790975,Cascais,CSC
72,"[17481018, 1013807080, 1013834880, 1013834881, 1016428790, 1016430168, 1382324332, 1382324335]",38.63695462608696,-9.155305713043479,Seixal,SXL
73,"[17532579, 1029404700, 1029878908, 1029878909, 1369403174, 1369403179]",38.4901902625,-9.105229568750001,Sesimbra,SSB
74,"[17911195, 1463261284, 1463261285, 1463261286, 1463261293]",40.215551455,-8.43573175,Coimbra,CBR
75,[17911828],40.221677130434784,-8.430258426086956,Coimbra,CBR
76,[17911985],40.22306022272726,-8.427180795454545,Coimbra,CBR
77,[17975099],40.226332494999994,-8.409823880000001,Coimbra,CBR
78,[18111144],40.19347514545455,-8.402609172727272,Coimbra,CBR
79,"[18461250, 228521475, 228521476, 228942354, 228945513, 1443244548]",38.8037429,-9.381568581818183,Sintra,SNT
80,"[18472413, 1350503567, 1350503568]",40.15813076086957,-8.854761186956521,Figueira da Foz,FIG
81,"[18499291, 1463413225, 1463413226, 1463413227]",37.101711876923076,-8.69461600128205,Lagos,LGS
82,"[18499293, 1463413228, 1463413229, 1463413230, 1463413231, 1463413232, 1463413233]",37.101189352,-8.687719044,Lagos,LGS
83,"[18502942, 1463413222, 1463413223, 1463413224]",37.110709090624994,-8.689997440625,Lagos,LGS
84,"[18502945, 1463413243, 1463413244, 1463413245, 1463413246, 1463413247, 1463413248, 1463413249]",37.103537536111105,-8.684880224999997,Lagos,LGS
85,"[18508300, 524102899, 524102900, 524102901, 524102902, 524102903]",37.139433138181815,-8.66301806909091,Lagos,LGS
86,[18612444],40.19432364827586,-8.406093031034484,Coimbra,CBR
87,"[18839668, 907276566, 907276567]",38.68148289523809,-9.33915811904762,Cascais,CSC
88,"[18909381, 1005096398, 1007943333, 1007943334, 1008003935, 1008003938, 1241582538]",38.784069475,-9.187604204166666,Odivelas,ODV
89,[18948201],38.38019178571428,-8.513355176190476,Alcácer do Sal,ASL
90,"[18948217, 1301576849, 1370864179, 1370864180]",38.50342191428572,-9.173308209523809,Sesimbra,SSB
91,"[19592549, 1318829013, 1318829014, 1318829015, 1318829016, 1318829017, 1318829018]",40.766815345000005,-7.064479630000001,Pinhel,PNH
92,[19592852],40.76372712499999,-7.0710585749999995,Pinhel,PNH
93,"[19644953, 1275080086]",38.67741837692308,-9.327732376923077,Cascais,CSC
94,"[19726114, 529689866, 530284613, 530284616]",38.74829474571428,-9.148380288571428,Lisboa,LSB
95,"[19745171, 683349364, 1522897465]",38.71579157368421,-9.158718294736843,Lisboa,LSB
96,"[19787379, 1327819173, 1327819174, 1327819175, 1327819176, 1327819177, 1327819178, 1327819179]",40.19455979523809,-8.412703642857144,Coimbra,CBR
97,[19791580],40.26716343181818,-8.441176118181817,Coimbra,CBR
98,[19791615],40.2656724095238,-8.441727276190477,Coimbra,CBR
99,"[19795732, 1005096393, 1005096394, 1005096395, 1005096396, 1005096397, 1282411886]",38.78072446956522,-9.19208142173913,Odivelas,ODV
100,"[19796149, 1005096380, 1005096381, 1005096382, 1008781342, 1008788462]",38.78327839999999,-9.19424355909091,Odivelas,ODV
101,[19804015],40.055551278125,-8.6269869,Soure,SRE
102,[19832438],40.05539663636363,-8.644008859090908,Soure,SRE
103,"[19849013, 624916141, 628603040, 628603041, 672435823, 672435826, 691272008, 763000558]",38.709463176190475,-9.210823695238096,Lisboa,LSB
104,"[19851145, 683255907, 683268200, 683385338, 684057704, 1227760875]",38.74233722666667,-9.133321166666665,Lisboa,LSB
105,"[19851205, 682183031, 682189370, 682189371, 683268182, 683284802, 683286875, 683286876, 760815057, 1391264460]",38.763047007407415,-9.129526359259259,Lisboa,LSB
106,[19892113],40.21768207142858,-8.408461071428574,Coimbra,CBR
107,[19997498],40.616050447619045,-7.094547980952381,Pinhel,PNH
108,[19999786],40.223316818181814,-8.409598177272727,Coimbra,CBR
109,"[20033257, 320667740, 320667748, 320667749, 1360365820]",41.55943374444445,-8.410463062962963,Braga,BRG
110,"[20167898, 239597440, 239597441, 239597442, 239597443, 320667747, 320667757]",41.55802276774193,-8.415247861290323,Braga,BRG
111,"[20168631, 235508847, 239598122, 239598123, 246860625, 246860627, 246860629, 1345170638, 1345170639, 1465795018]",41.55772142500001,-8.417667092857142,Braga,BRG
112,"[20209984, 235478252, 244066349, 244066354, 244066360, 470087037]",41.55649098043478,-8.39753409347826,Braga,BRG
